DW_CLIENTES;DW_LOCALIDADE;DW_TEMPO;vl_total
cb73dcfca95b7ad05ec8f2b265d51c6bd5a8cbff78e8a7953fd4dbeae1ee3007;f8db70316180dc3bf59491b6c031399f417dde3ecb061ecf317d2f3462eef277;eb7b4c0510c45993bb795b2f455a61cda7d8cf3b34572fad1199e6eae3da4a20;""
71915c2acf51001f0e57de1efc03f72cfaf548af9d6e1b7b8ddaf51c9e2b3ec8;cb1d855fdf6d02fd8754b5b2648e0f30483d7f928f0500f28bcd4b1f89eb450e;7b85779b45f67aa0ab28c4c3895044a1d72e3d67f3013976d7989247a406422a;""
6e92a5825c19aa5cf86782f7d233412a9cbc209eec93506ed8e1202aff9f3afc;58b6ad23ed2cde96ccde4b99410b4d7a6f5405ef14ba1895b3503b0cc4d37508;4dd573ceba42451167c225a3f3884aa66bc69316d067c3a6debf923bfbc84848;""
20514542e9201f4f24ca4e48da3bf89838cb4952d0453b9859bd4c9cdc191199;bc90de7ca6a99c5472145be56ecb961a219af5ed4579fa630945dcd1590fc53b;b6b9d4987cf54d0c85ca78d6fe6e7b5c363f6e7bf4ab915707b8a8e28437e850;""
eb52eb13dab12f085db43a6ffe68db6a6724786f4fb13013362b66895f941a32;8b9ab98fd277b4a9f2274850b31a8fb649c77c18e9106f94e27a36445cfac850;603c557368dc2604aa120708c7e002651d890631f766642baa2728cea8038121;1368.0
e1548375da3d963cbd642a865634f9eb060f1ec7cc1a9e3c64b0c9b5134bfc51;27e1775c2af7d9fe2a4e15d0431303b3a55109161525f06874de5d19c89fee29;f2740e31b50b3368617eb661880400940e968405d319b214e95c43577b7e736a;""
c9519fb30f84e1090d9d5f370bd3585ccf16c0d7e194bb7c52c6cd937813ebb8;600ff5c915bbe268210068dadaaca9fdd9eee00e8320f24c0b9318b3cbf6d85c;40a393c58d11fb0eabf59ac0e324e2ce220a9041df2499177f3e6f70dd1423ad;""
8b9e94585ef713175b0cf0fe6b74fb61877bd8bfc4ff2d2a952ce33eacce7fec;8c01367f70c68f5b04bbf6253d17953a8bebf39210cc719299b66290c5725d46;5f82dc40f4cb290daccb5fed9851e6862abd8024d6d97ba70e94b4225a55d5aa;""
93d6ca8e009bbe6ea13f89c330649db9b569f8937083746d2589ca0b802be07b;74927e484b1650d2ac5a666ad6230e5ecf1b26c32becdcff6a5530a7fa17485d;bddbb08467077e0f3bc411b6893b6a6d2151abaa1db4616914de016d24dafecc;""
fe7b4432b7dfdf8e7ba76b06f0826a0118e8053fee7699764d16b2ecab963d4c;d74db15e47ad6ea3de2fa6b1803d6ea4da8cd44f62892127df26383e2b761ed0;7d0ff60c6509c10aeaae74dde6cc90a3b240fee580b1d84dbdc1ed1f06ca5d78;""
a8c79e5cd41c2e583f2c3976749f2b3e1c971e095908cb154107cc0edbca5446;42a8f25e8da86edc2b6fa9866bbbf431eeb88bfe7f1328e6458c99d87a230a2d;93aab9d19075150a199d33abab73bfd936e98e99ae62de51229cbf7f472ae086;""
b42f17fefd02041c95a42dffe9c9407115d474d4396e0e93c890212bc6a405a4;83598d54a05e78770a2d2768ef059a01360e2689ee9ccce971a64538b4a03d37;a2c1b3f0f147a976144548a1a9348dcfa7c96d146a722278556d1c42164efb85;""
3d1f6c799e00de9f533133a9b5946319985775ceb3013654275e9632299416cb;b826949a0044070aa0cbd0001d507bce1983e83f1c63105c209b5e40a305587d;12d96558d43e323ab1f0d1606c70e50e73647a01438c8b77ec3c10ea58b4d4ad;""
c7e24ebe43f1c29e658a6e11bcf82d6bc18c47df92b984534ee9a7ae5a5f62c5;05b202f26d612b2898525844f15a9130d7751f4b32f78bbf9c2f66a8addb6466;ed51a46060a0b2bd1cddb3ae6dc9ef82c30760128a2e4a47d076b5f6862bfc9b;""
34dd5cc82dcf9c17938ee9b90eb9d0b14d63e2aab15f0eafdcc4975b055a33f9;0d4a4674a42579e94250da6684624e8c1bb1fcc5f2a2e393718431e3b423757d;b981a1bcccdbe0b02889642bf3f5f95acbe43f598d51e260e17d08c9ef88c2c5;""
7ed98f261d6ed07dddf53534fe8dfa50c7983e4135064476265d3f88f1c99017;8cfd2540b4f89d6941963361e8401cd06a2a6716674189d7329ed5011924e0ac;9b69dabd3c78140ba96006837c7806c99dd6f1c5ac954bb60e39beffc4fac0a6;""
c93fe1949c0775163bf16be1e1414754b862100d157faca9a8822c257537054d;5e6edefea47ae9d377a2bdde9cb11dba4ab5b8b8d0bbd1d341e01caeda5b3af0;f2bd8b87f0339b478b03f9365d0e343244287e1c9b3e24df070b0d457fe28eb9;""
20c9dc06ced54cbe1c47eb3c2f5f94b39044405a64fe125e07834f0e5779b48e;f15a8356a89ce4fd9c99c8c27bfa5a54340941dea5e6b9c8c7e66b2f688054e1;7ec74312a88ad6352e761be28b02c381aa8e8f62d31db56d6c6e7a2f6cecee7e;""
a7462a1ec10b588f00aad038ada1bbbab5d1b492dbe127d84706a78a163af4db;e7dc4b93ea6455fc8bd19072cf3b921a203df40004cf3581de98d7f1b33b2360;c592f05b71d2506704ef544fe09a9c147dfabbc6b14943af698fc35a97dc621d;""
66b3bed43ca7d0266776d597a259b07f7cc2f70239e8d428ff8293c85563fd1d;50aba8117d541d64fd0564b800b9f160eebf2b1464a35603fab8fb173cba1719;b563b85b83f1c17abd1a11e0525737ede7866232c36f2f9615edeb1151f93184;""
b92e2526fe6559d362c2eac704536b255f00ad4b490cfd3cdca21c292d2a73b6;e083e4e1a8144dd72c4e8f883abc0b5071dc65053bba0545801b8e2c425f831d;6199871d2fc8c10aeb5edbe5fc2488956e50ce63eae3eb5624c1f46133fbdd9d;""
b92e2526fe6559d362c2eac704536b255f00ad4b490cfd3cdca21c292d2a73b6;e083e4e1a8144dd72c4e8f883abc0b5071dc65053bba0545801b8e2c425f831d;38ae18d50f5a5ba17d9fcd8e144f3b304b6275aa24c80c9b289236083402adb5;""
36ec772fd889558100da1646054bbc36e591180e514512731f817ca061191fc3;d83e0b2d9c546c4e4365d0b121a2e75872798fce996a40ad4616911f990ae7fe;d117d57a4317c676ffb973af0d67dfb7279d91cc7a6b38f8a95a4964da92dc44;""
252e2eaaa0ca75d8ba8fdbf90d3cdac26b9506695ac028580b95299e697ea9f4;c169c948aaf7f7b54ddd48d7d267c410557898294291560bd8c44656538b6a77;5731efa25d68b34dc376a758911c264df49ecbc642f5d231e766a4fe4ac315f4;""
a98e1b0233f8896b353959dbc04be5fb318cdd7113422fb4937aeebf129f02b8;cdb76350acf9cb19fd87701bd604336e9b24a1d5a2916700b563e73dd0b79045;3649dbfd8e33395776075866d7a10c05e8cf4ac0d403260dd50b354d98d96db4;""
22803b5b132be0f5372334cebc87e6f87aa9f564636b970000da3e77b2c3eee8;41b0c3db80a7a5e7a83f6fcb88d4786f37e1b999ccc3d402c1f5736c6d7c873b;ce1f94ad2cf66e29b57734225162698589c44a64e3e955e3bb8de9b95c9e9d5b;""
7c055512b506ceb85dd4250acb1ca3268d3276fb0ca656a109cec7a94726855a;1bf9285aa4de890cc1049fcc009dd2046536220ef3ca0947472ccade24cd907a;195461e5638373e4185ab8729e7693dce009772408ab407957b5228a886614bb;""
621bb2b5a5dd662b0fcf5255356ea8cb61225e11922e25a845ddb2470dd6e156;6cfcae35fb00cdc8978a06687f4974b63897aefec034036791de920e34bc4c72;55c6d721e1646094f4480383517660303c032c83babdd00e8dcd85a32818145e;""
090182a7af26a7a29cbf84d9bb877e73da6700c877799265c4a3e6567cadc9c7;7ef4d7fb1eae48dfa2619e3e56aa7d199c35ed895f543afc0e5f954387aa564f;0036c58e4b62d9a46a3f74268f849ab44c231aca5521bb0ce43349ad26012aba;""
a7d0a288f52db0d46b1e155cec1d18be839c54a8a5efbdcee3d975de59cacb64;f5bcd6d8ed6fe9fed72cce79b5e80f54dd6e33a72eece575a484c12f28f732de;ec1cc0bedc2e5a106ad3c2f3d83ed60f3158a3748476fc709dab9e00995bf089;""
49380c5c59ddc653e230d0367f26714798259940bcf59a5a6dbf69171054f6cd;edcf94a7cbdd787128294d84272f1a8a8f2e168e225702b12f4037d1ef48e21c;740eff592a29b03e418812ea6a2e0eeb444e7e224cf6861dc7d9990fae471d32;""
e8dce01b0f206199b208e7ddce2c547ef1ca29f4dc603ab65dbb20cbeee4a73f;a11f10bcede642984a2c7a067ee2bedf845bce1fee6f7f866516cea34311376b;126e1372bcf0bdd5c4f55e971efc51fbedd5203613a3d777a76062dd9e4a260a;""
6ec76b350565166f17ed9f7eee2242d9b333f06d11932b59145305643335985f;0797d437520ab0977b665b874a7d3b82ce4800ba374f0cb9af149cf128c2a012;a9cd4de3b71047bd8b94ca056b5b27f42c5892a8324a08c800214c188f6d1f02;""
26920b6111e5d74b30b6f2fb21c9556cc697e6a6dc70b90d227ddaba23638632;784504375fe49e2aac0f04eea51a9c059b80c95c2f5a100792fc0d952e36bb3e;b476b200811651ace474b3cab4041b27ff6fd45de57a8e17bdbecd6ed48294b0;""
ab5cdaeb881f07a48b8a6a86c7f94d0a9a1a11095365c15ebdd37db0ae73b7d0;d9441aacd9b15b1fab13bb6fc344e9579578c37a4fb10f2e7adc051a40c72f79;263ba9d857772a4b07ec3268e653281955fa978b20312cb28f99586806618566;""
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;ff8cfa037d67e8ba393386f2629d6d9ae10df9f250ca1fbcf0eb67133df9119d;1a3aa30c9f227d59aa2bb12313bbf48cdb07ebf9b03e30d9ed0acd8b5f5617bb;""
1046417cb787756c1803b113580b70488649415e76d032ba0b52536f1c0197c4;ff8cfa037d67e8ba393386f2629d6d9ae10df9f250ca1fbcf0eb67133df9119d;5350d7e596b29eb5d745c2a439ad93fcfcdb4a2fa3c76e3b629bb6af00caa4e5;3606.0
b4f624eeba2be48fa9cb083c8efef740995459ee37ee847c7f1a8f85ac153272;7e31fe7c314403dec8ca709c3fa3b790b729e24884854c261fce0cbda41f963f;c7ceb85e89d25fed8c30b5521be82685f7f110f1c63c93ec91e98766953fb7b3;""
68c1578efcc8a2713a8f447ae3bf1a00c08c88834b7ab0429f6347d9e9abcb3c;41728ff38f9c9814febff64066ba78161a6fdcadf5d9efd7144ee8b21e764c7c;41b7803f0ecbbb1fcfcd62d71084257b45d3fd32a97dd0db4b26aac3ad23911f;""
713139a8a4d0d6ebf96923061a84b8f39adf38cde48eb6abce747455c93eb019;cb2edc61d94ce05a570ebebd93f3a3a5721d3f0cc5b833045e46b7162cd5e010;5350d7e596b29eb5d745c2a439ad93fcfcdb4a2fa3c76e3b629bb6af00caa4e5;""
b610a1b98e5e5cc08ff4b17208f44cd37250a012650bf08ca5c0d1a729fb882d;e7e04be7003331f94920186249c12526bb22d2f67fde26d191b597ae40f3e964;7aabb46ed1f9114a5182dac0ebd700dadf5740b21648157fe6dcc9942b8185d4;""
b610a1b98e5e5cc08ff4b17208f44cd37250a012650bf08ca5c0d1a729fb882d;e7e04be7003331f94920186249c12526bb22d2f67fde26d191b597ae40f3e964;f87ed191c72d27f6b9f6653ef1ac190a09a02c037b5061911cfee1b760d3b866;""
047748aa4d82bfe923abca684f428d4b2fb27092651902f3c9d0fdef2ab37ada;520dc5df14ead03f8e1bccb3e2ee0055299d96bf8f1db7a46d903d880d318e76;65985d9e977d02f8876e7d65166034eb82a3984a02185322beb056fe11e5430b;""
3dee3bc66838e920f502bc17e471cf5b2b6c14f44153f8be2966c55e02bb9b30;a231eaaece1bd4cb55d8ba88becf360ddf3dbfb9286ff1100ea473fe9a81fcd8;55c6d721e1646094f4480383517660303c032c83babdd00e8dcd85a32818145e;""
755b64596ca285175a8f503d17f694747f2edc60023a4732b330a15c723e8f55;e1969b7b76e43eb9d842b32ac34b2789d159365cfda17719185dabafed5c8f26;0bca38b7a83aea48a7c7ff6eaab85b58ab53316b9dcc762034f86ea4f04fa2e0;181747.0
8ce5e354afdcc6c165756a88ab784ad0a3da070391571dc40c93fa111687e426;91b188e5dbb8247fd13e8323bdfefee20d1affd6d38bd03862778266777be3a8;05a404ba99b61332512392b203fd7af72de40fb948f04612ebf4396554ffdb6d;""
